"ID","IPADDRESS","STBROWSER","STBROWSERVERSION","STSYSTEM","STLANGUAGE","DATUM","TIMESTAMP"
"1","217.160.255.254","Firefox","Firefox","Linux","de","2022-09-09","2022-09-09 15:14:37.614"
"2","51.254.59.113","Chrome","Chrome","Windows","de","2022-09-09","2022-09-09 15:45:58.855"
"3","217.160.255.254","Firefox","Firefox","Linux","de","2022-09-09","2022-09-09 16:57:20.236"
"4","37.139.53.81","Chrome","Chrome","Windows","de","2022-09-09","2022-09-09 16:57:23.143"
"5","152.89.196.62","Chrome","Chrome","Windows","de","2022-09-09","2022-09-09 17:06:55.312"
"6","143.92.32.168","Other","Other","Other","de","2022-09-09","2022-09-09 17:41:08.782"
"7","80.94.92.239","Edge","Edge","Windows","de","2022-09-09","2022-09-09 17:48:50.623"
"8","31.18.254.39","Firefox","Firefox","Linux","de","2022-09-09","2022-09-09 18:02:00.036"
"9","31.18.254.39","Firefox","Firefox","Linux","de","2022-09-09","2022-09-09 18:03:55.985"
"10","45.114.144.151","Safari","Safari","Mac OS X","de","2022-09-09","2022-09-09 18:05:04.638"
"11","217.160.255.254","Firefox","Firefox","Linux","de","2022-09-09","2022-09-09 18:06:15.653"
"12","217.160.255.254","Firefox","Firefox","Linux","de","2022-09-09","2022-09-09 18:06:35.043"
"13","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-13","2022-12-13 16:39:41.311"
"14","192.168.178.2","Other","Other","Other","de","2022-12-13","2022-12-13 16:44:18.324"
"15","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-13","2022-12-13 17:01:34.046"
"16","192.168.178.2","Other","Other","Mac OS X","de","2022-12-13","2022-12-13 17:19:26.534"
"17","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-13","2022-12-13 17:26:15.415"
"18","192.168.178.2","Firefox","Firefox","Mac OS X","de","2022-12-13","2022-12-13 17:28:33.85"
"19","192.168.178.2","Firefox","Firefox","Mac OS X","de","2022-12-13","2022-12-13 17:28:34.598"
"20","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-13","2022-12-13 17:28:42.003"
"21","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-13","2022-12-13 17:53:48.384"
"22","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-13","2022-12-13 17:54:27.201"
"23","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-13","2022-12-13 18:03:13.985"
"24","192.168.178.2","Python Requests","Python Requests","Other","de","2022-12-13","2022-12-13 18:16:41.88"
"25","192.168.178.2","Firefox","Firefox","Ubuntu","de","2022-12-13","2022-12-13 19:05:02.267"
"26","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-13","2022-12-13 19:36:54.627"
"27","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-13","2022-12-13 19:37:22.251"
"28","192.168.178.2","Edge","Edge","Windows","de","2022-12-13","2022-12-13 19:43:53.745"
"29","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-13","2022-12-13 19:43:57.081"
"30","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-13","2022-12-13 19:49:37.077"
"31","192.168.178.2","Other","Other","Other","de","2022-12-13","2022-12-13 20:55:04.438"
"32","192.168.178.2","Other","Other","Other","de","2022-12-13","2022-12-13 21:00:45.16"
"33","192.168.178.2","curl","curl","Other","de","2022-12-13","2022-12-13 21:09:13.931"
"34","192.168.178.2","curl","curl","Other","de","2022-12-13","2022-12-13 21:09:13.933"
"35","192.168.178.2","curl","curl","Other","de","2022-12-13","2022-12-13 21:09:14.073"
"36","192.168.178.2","curl","curl","Other","de","2022-12-13","2022-12-13 21:09:14.282"
"37","192.168.178.2","curl","curl","Other","de","2022-12-13","2022-12-13 21:09:14.34"
"38","192.168.178.2","curl","curl","Other","de","2022-12-13","2022-12-13 21:09:14.75"
"39","192.168.178.2","curl","curl","Other","de","2022-12-13","2022-12-13 21:09:15.05"
"40","192.168.178.2","Edge","Edge","Windows","de","2022-12-13","2022-12-13 21:44:16.336"
"41","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-13","2022-12-13 23:20:01.272"
"42","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-13","2022-12-13 23:39:17.832"
"43","192.168.178.2","Other","Other","Other","de","2022-12-14","2022-12-14 01:05:32.861"
"44","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 01:24:07.053"
"45","192.168.178.2","Chrome","Chrome","Windows","de","2022-12-14","2022-12-14 01:57:19.825"
"46","192.168.178.2","Edge","Edge","Windows","de","2022-12-14","2022-12-14 02:06:59.658"
"47","192.168.178.2","Firefox","Firefox","Linux","de","2022-12-14","2022-12-14 03:00:25.884"
"48","192.168.178.2","Opera","Opera","Windows","de","2022-12-14","2022-12-14 03:08:59.038"
"49","192.168.178.2","Firefox","Firefox","Windows","de","2022-12-14","2022-12-14 03:36:45.215"
"50","192.168.178.2","Other","Other","Other","de","2022-12-14","2022-12-14 04:32:34.591"
